epoch,accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy,learning_rate
0,0.45968711376190186,1.7249127626419067,0.7665463089942932,0.7640449404716492,0.9113408923149109,0.966292142868042,0.0010000000474974513
1,0.7135980725288391,1.0027862787246704,0.9277978539466858,0.8258426785469055,0.6412777304649353,0.9719101190567017,0.0010000000474974513
2,0.7629362344741821,0.7739971876144409,0.9524669051170349,0.8651685118675232,0.5447552800178528,0.9775280952453613,0.0010000000474974513
3,0.8026474118232727,0.7196382284164429,0.9638988971710205,0.8707864880561829,0.529076337814331,0.9775280952453613,0.0010000000474974513
4,0.8231046795845032,0.683334231376648,0.9753309488296509,0.8764045238494873,0.5409364700317383,0.9775280952453613,0.0010000000474974513
5,0.8375450968742371,0.6026792526245117,0.9813477993011475,0.8651685118675232,0.5440294742584229,0.9719101190567017,0.0010000000474974513
6,0.8616124987602234,0.5876280665397644,0.9837545156478882,0.8707864880561829,0.5598061084747314,0.9775280952453613,0.0010000000474974513
7,0.8706377744674683,0.5513341426849365,0.9885680079460144,0.882022500038147,0.5211327075958252,0.983146071434021,0.0010000000474974513
8,0.8718411326408386,0.5133545994758606,0.9879662990570068,0.9044944047927856,0.5426433086395264,0.983146071434021,0.0010000000474974513
9,0.8898916840553284,0.4905395209789276,0.987364649772644,0.8932584524154663,0.549089252948761,0.983146071434021,0.0010000000474974513
10,0.895908534526825,0.4703454077243805,0.9951865077018738,0.9101123809814453,0.5179926753044128,0.9943820238113403,0.0010000000474974513
11,0.9013237357139587,0.46455955505371094,0.9903730154037476,0.9101123809814453,0.5064020752906799,0.9887640476226807,0.0010000000474974513
12,0.8971118927001953,0.45983731746673584,0.9927797913551331,0.8876404762268066,0.5483126044273376,0.9943820238113403,0.0010000000474974513
13,0.9049338102340698,0.4466741383075714,0.9933814406394958,0.8876404762268066,0.5407308340072632,0.9943820238113403,0.0010000000474974513
14,0.9145607948303223,0.4124634563922882,0.994584858417511,0.9044944047927856,0.5437053442001343,0.9887640476226807,0.0010000000474974513
15,0.9193742275238037,0.41200536489486694,0.9969915747642517,0.898876428604126,0.5432247519493103,0.983146071434021,0.0010000000474974513
16,0.922382652759552,0.40958288311958313,0.9951865077018738,0.9101123809814453,0.5155037641525269,0.983146071434021,0.0010000000474974513
17,0.9362214207649231,0.3767740726470947,0.9969915747642517,0.915730357170105,0.5150421857833862,0.9887640476226807,0.0005000000237487257
18,0.9320096373558044,0.3922645151615143,0.994584858417511,0.9101123809814453,0.517225980758667,0.9887640476226807,0.0005000000237487257
19,0.9290012121200562,0.38793519139289856,0.9969915747642517,0.9101123809814453,0.5194246172904968,0.9887640476226807,0.0005000000237487257
20,0.9314079284667969,0.373207151889801,0.994584858417511,0.9044944047927856,0.510525107383728,0.9887640476226807,0.0005000000237487257
21,0.9392298460006714,0.3761436641216278,0.9975932836532593,0.9044944047927856,0.5260069370269775,0.983146071434021,0.0005000000237487257
22,0.9410349130630493,0.3693234324455261,0.9957882165908813,0.9044944047927856,0.5243093967437744,0.9887640476226807,0.0002500000118743628
23,0.9476534128189087,0.3515012562274933,0.9969915747642517,0.898876428604126,0.5215567946434021,0.9887640476226807,0.0002500000118743628
24,0.8586040735244751,0.558938205242157,0.9813477993011475,0.8707864880561829,0.6020156145095825,0.9719101190567017,9.999999747378752e-05
25,0.8910950422286987,0.4926932752132416,0.9927797913551331,0.8707864880561829,0.5755833983421326,0.9775280952453613,9.999999747378752e-05
26,0.909747302532196,0.447544127702713,0.9939831495285034,0.8764045238494873,0.5562245845794678,0.9943820238113403,9.999999747378752e-05
27,0.9049338102340698,0.4508632719516754,0.9963898658752441,0.882022500038147,0.5649924278259277,0.9887640476226807,9.999999747378752e-05
28,0.9259927868843079,0.3905371427536011,0.9975932836532593,0.882022500038147,0.5684769153594971,0.9943820238113403,9.999999747378752e-05
29,0.9368231296539307,0.36972713470458984,0.9957882165908813,0.882022500038147,0.5657064914703369,0.9887640476226807,4.999999873689376e-05
30,0.9374247789382935,0.3783418834209442,0.9951865077018738,0.8876404762268066,0.5693435072898865,0.9887640476226807,4.999999873689376e-05
31,0.938026487827301,0.3611522912979126,0.9957882165908813,0.8876404762268066,0.5692986249923706,0.9887640476226807,4.999999873689376e-05
32,0.9518651962280273,0.3509349226951599,0.9963898658752441,0.8876404762268066,0.5654667019844055,0.9887640476226807,4.999999873689376e-05
33,0.9476534128189087,0.354582279920578,0.9981949329376221,0.8876404762268066,0.5652687549591064,0.9887640476226807,4.999999873689376e-05
34,0.948856770992279,0.3461225628852844,1.0,0.8876404762268066,0.5633631348609924,0.9887640476226807,2.499999936844688e-05
35,0.9554753303527832,0.3255927264690399,0.9957882165908813,0.8932584524154663,0.5663338899612427,0.9887640476226807,2.499999936844688e-05
36,0.948856770992279,0.34591829776763916,0.9975932836532593,0.8932584524154663,0.5670269131660461,0.9887640476226807,2.499999936844688e-05
37,0.9578820466995239,0.35243654251098633,0.9963898658752441,0.898876428604126,0.561820924282074,0.9887640476226807,2.499999936844688e-05
38,0.9560770392417908,0.35766759514808655,0.9957882165908813,0.898876428604126,0.5587027668952942,0.9887640476226807,2.499999936844688e-05
