epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.7786272168159485,0.0010000000474974513,0.5225878357887268,1.0,0.5652559399604797,0.6564167141914368,1.0
1,0.8293723464012146,0.0010000000474974513,0.40021461248397827,1.0,0.46665188670158386,1.090402603149414,1.0
2,0.8433881998062134,0.0010000000474974513,0.3734178841114044,1.0,0.5091956853866577,0.7436290383338928,1.0
3,0.8519749641418457,0.0010000000474974513,0.3549327850341797,1.0,0.5814314484596252,0.7413766980171204,1.0
4,0.8596199750900269,0.0010000000474974513,0.34335964918136597,1.0,0.6669620871543884,0.6170159578323364,1.0
5,0.866544783115387,0.0010000000474974513,0.3313613831996918,1.0,0.7660093307495117,0.4815993905067444,1.0
6,0.8691485524177551,0.0010000000474974513,0.32342228293418884,1.0,0.7866164445877075,0.456826776266098,1.0
7,0.8726386427879333,0.0010000000474974513,0.3148480951786041,1.0,0.7533791065216064,0.5213203430175781,1.0
8,0.8754639625549316,0.0010000000474974513,0.30723509192466736,1.0,0.798803448677063,0.4387527406215668,1.0
9,0.8800066709518433,0.0010000000474974513,0.29638010263442993,1.0,0.7507201433181763,0.5199717879295349,1.0
10,0.8838845491409302,0.0010000000474974513,0.2915645241737366,1.0,0.8096609711647034,0.42733463644981384,1.0
11,0.8852695226669312,0.0010000000474974513,0.2883608937263489,1.0,0.7773100137710571,0.4803518056869507,1.0
12,0.8863775134086609,0.0010000000474974513,0.28036263585090637,1.0,0.7974739670753479,0.4479159116744995,1.0
13,0.8906431794166565,0.0010000000474974513,0.2737448513507843,1.0,0.7013073563575745,0.5915822386741638,1.0
14,0.8916403651237488,0.0010000000474974513,0.2679310142993927,1.0,0.7779747247695923,0.5395187735557556,1.0
15,0.8947980999946594,0.0010000000474974513,0.2640078365802765,1.0,0.7555949687957764,0.48693832755088806,1.0
16,0.9011135101318359,0.0005000000237487257,0.24466028809547424,1.0,0.8451141119003296,0.37775343656539917,1.0
17,0.9039388298988342,0.0005000000237487257,0.2378864586353302,1.0,0.7952581644058228,0.4822874367237091,1.0
18,0.9071519374847412,0.0005000000237487257,0.2297562211751938,1.0,0.8369155526161194,0.40280085802078247,1.0
19,0.9095894694328308,0.0005000000237487257,0.2260432243347168,1.0,0.7914912700653076,0.5212363600730896,1.0
20,0.9114176630973816,0.0005000000237487257,0.22040584683418274,1.0,0.828052282333374,0.4472145438194275,1.0
21,0.9135782122612,0.0005000000237487257,0.21918953955173492,1.0,0.8220695853233337,0.46064257621765137,1.0
22,0.9183424711227417,0.0002500000118743628,0.20620512962341309,1.0,0.8389098048210144,0.42362990975379944,1.0
23,0.9188410639762878,0.0002500000118743628,0.2034524381160736,1.0,0.8386882543563843,0.43194979429244995,1.0
24,0.919782817363739,0.0002500000118743628,0.19930754601955414,1.0,0.8324839472770691,0.474345862865448,1.0
25,0.9213894009590149,0.0002500000118743628,0.1949499398469925,1.0,0.8333702683448792,0.4586581289768219,1.0
26,0.9226635694503784,0.0002500000118743628,0.19313521683216095,1.0,0.8309328556060791,0.45731180906295776,1.0
27,0.9230513572692871,0.0001250000059371814,0.18350420892238617,1.0,0.8338134288787842,0.48072707653045654,1.0
28,0.9276494383811951,0.0001250000059371814,0.1807054877281189,1.0,0.8497673273086548,0.44716548919677734,1.0
29,0.9293113946914673,0.0001250000059371814,0.18023993074893951,1.0,0.8384666442871094,0.4773100018501282,1.0
30,0.9277048110961914,0.0001250000059371814,0.17891021072864532,1.0,0.8453357219696045,0.4636971652507782,1.0
31,0.9301424026489258,0.0001250000059371814,0.17518402636051178,1.0,0.8440061807632446,0.4715384840965271,1.0
